date_utc,exchange,txid,source,event_type,base_ccy,quote_ccy,side,qty_base,qty_quote,price_quote_per_base,fee,fee_ccy,eur_amount,eur_fee,notes,date,quote_ccy_raw,fee_ccy_raw,quote_ccy_rate,fee_ccy_rate,eur_per_quote,eur_per_fee,base_ccy_raw,base_ccy_rate,eur_per_base
2024-12-31 11:15:00+00:00,binance,3de3991c604e5e46,trades,trade,BTC,USDT,sell,-0.22509,21181.1580756,94100.84,21.18115808,USDT,20388.062442254173,20.38806244648942,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,2f25984352806b5f,trades,trade,BTC,USDT,sell,-0.00734,690.7232866,94103.99,0.69072329,USDT,664.8602237543572,0.6648602270270495,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,8f5c960cf62ce7e5,trades,trade,BTC,USDT,sell,-6e-05,5.646239400000001,94103.99,0.00564624,USDT,5.434824717338071,0.005434825294872,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,2097ed83a1e828d3,trades,trade,BTC,USDT,sell,-6e-05,5.6461787999999995,94102.98,0.00564618,USDT,5.434766386411139,0.005434767541479,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,1edd8b5c03f69ce3,trades,trade,BTC,USDT,sell,-6e-05,5.6461572,94102.62,0.00564616,USDT,5.43474559518966,0.005434748290348,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,594bd633a03550d3,trades,trade,BTC,USDT,sell,-6e-05,5.646194400000001,94103.24,0.00564619,USDT,5.4347814022933205,0.0054347771670445,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,75c3d701cf0467dd,trades,trade,BTC,USDT,sell,-6e-05,5.646169200000001,94102.82,0.00564617,USDT,5.434757145868261,0.0054347579159135,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,cb90c17e7aad995d,trades,trade,BTC,USDT,sell,-6e-05,5.646145799999999,94102.43,0.00564615,USDT,5.4347346220449895,0.0054347386647825,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,e4d89af5881606a7,trades,trade,BTC,USDT,sell,-0.14847,13971.5288286,94103.38,13.97152883,USDT,13448.386587482757,13.448386588830337,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,2f57f7bf1ca423d7,trades,trade,BTC,USDT,sell,-0.017,1599.70034,94100.02,1.59970034,USDT,1539.802040304227,1.539802040304227,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
