month,account,debit,credit,asset,memo,posting_date,Reference
2024-04,262500 Cost of acquisition of crypto assets,11097.72,0.0,INJ,Buy INJ - inventory at cost,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,18727.79,0.0,PEPE,Buy PEPE - inventory at cost,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,57765.25,0.0,SOL,Buy SOL - inventory at cost,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,183630.58,0.0,TON,Buy TON - inventory at cost,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,10340.51,0.0,USDC,Buy USDC - inventory at cost,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,0.0,98805.78,BCH,Buy BCH - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,0.0,181318.27,BTC,Buy BTC - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,0.0,9493.23,DCR,Buy DCR - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,0.0,45639.03,ETH,Buy ETH - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,0.0,13470.63,FET,Buy FET - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,0.0,11102.68,INJ,Buy INJ - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,0.0,18736.44,PEPE,Buy PEPE - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,0.0,57794.86,SOL,Buy SOL - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,0.0,183723.28,TON,Buy TON - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,0.0,10345.29,USDC,Buy USDC - cash outflow (cost + fees),2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,44.31,0.0,BCH,Buy BCH - fees,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,81.48,0.0,BTC,Buy BTC - fees,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,4.22,0.0,DCR,Buy DCR - fees,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,18.43,0.0,ETH,Buy ETH - fees,2024-04-30,CRYPTO ALL 2024-04
